"user_id","name","email","signup_date"
1,"Alice","alice@example.com","2023-01-01"
2,"Bob","bob@example.com","2023-02-01"
3,"Carol","carol@example.com","2023-03-01"
4,"Dave","dave@example.com","2023-04-01"
5,"Eve","eve@example.com","2023-05-01"
6,"Frank","frank@example.com","2023-06-01"
7,"Grace","grace@example.com","2023-07-01"
8,"Heidi","heidi@example.com","2023-08-01"
9,"Ivan","ivan@example.com","2023-09-01"
10,"Judy","judy@example.com","2023-10-01"
11,"Kevin","kevin@example.com","2023-11-01"
12,"Laura","laura@example.com","2023-12-01"
13,"Mallory","mallory@example.com","2024-01-01"
14,"Ned","ned@example.com","2024-02-01"
15,"Olivia","olivia@example.com","2024-03-01"
16,"Peggy","peggy@example.com","2024-04-01"
17,"Quincy","quincy@example.com","2024-05-01"
18,"Rupert","rupert@example.com","2024-06-01"
19,"Sybil","sybil@example.com","2024-07-01"
20,"Trent","trent@example.com","2024-08-01"
